subject,level,true_time,min_time,coco_count,rmi,level_order,s_total_time,s_rmi,s_time_in_game
1,9,261.17446517944336,56.443729400634766,306,0.16531446293566976,1,1.2332728167739913,-0.9876911405240039,-1.4863010829205867
1,8,225.29342651367188,317.7226867675781,242,0.16971199608575405,2,0.5285737848994166,-0.9100509154980387,-1.1560119533826787
1,5,197.6824951171875,543.02752685546875,346,0.17161774073785674,3,-0.013701392959888467,-0.8764042234592426,-0.8257228238447705
1,10,261.98089599609375,740.6953735351564,345,0.2633631038546489,4,1.249111015357397,0.7433972412187663,-0.49543369430686224
1,4,249.05401611328125,1002.6909790039064,285,0.32373540999303185,5,0.9952287400021159,1.8092947055347928,-0.1651445647689541
1,7,165.7569580078125,1251.7449951171875,288,0.16380168801567563,6,-0.640714877787297,-1.0143997931238664,0.1651445647689541
1,6,119.6829833984375,1417.4859619140625,246,0.2483790587120578,7,-1.5456018740718618,0.47884786843059396,0.49543369430686224
1,1,196.7010498046875,1537.18505859375,344,0.18590507076845575,8,-0.03297685396309403,-0.6241556375504189,0.8257228238447705
1,2,134.3189697265625,1733.873046875,259,0.2610945231375348,9,-1.2581529656934614,0.7033445318121461,1.1560119533826787
1,3,172.156005859375,1868.18994140625,344,0.259648667328368,10,-0.515038392557317,0.6778173631592715,1.4863010829205867
2,1,164.4317741394043,55.88663101196289,344,0.37264307129722063,1,1.0594813699936017,0.019681111843854175,-1.4863010829205867
2,5,154.41490173339844,220.43490600585935,341,0.39385967135780664,2,0.6814469519523827,0.2897404248412675,-1.1560119533826787
2,4,165.79782104492188,374.8497924804687,299,0.2682910871232328,3,1.1110356601964715,-1.3085819027517902,-0.8257228238447705
2,7,142.36529541015625,540.63128662109375,307,0.25671689033076195,4,0.22669763206472085,-1.4559061500555879,-0.49543369430686224
2,10,149.68145751953125,683.0125732421875,344,0.3803188015557988,5,0.5028078761818882,0.11738302612162271,-0.1651445647689541
2,6,91.38232421875,832.677978515625,225,0.2846278111689047,6,-1.697387757382758,-1.100636970019688,0.1651445647689541
2,9,136.53173828125,924.0604248046876,302,0.40009449883818293,7,0.006540552594082365,0.36910154873480566,0.49543369430686224
2,8,112.7320556640625,1060.6080322265625,216,0.4974865242772868,8,-0.8916538940437484,1.6087734757355605,0.8257228238447705
2,2,98.698974609375,1173.323974609375,226,0.4140221363090923,9,-1.4212590856456009,0.5463819893487636,1.1560119533826787
2,3,147.5479736328125,1272.0389404296875,283,0.4429081996451356,10,0.42229069408895603,0.9140634462011941,1.4863010829205867
3,7,207.94811248779297,82.30680084228516,294,0.2019977763291836,1,0.23684375647625042,-1.0897024567337552,-1.4863010829205867
3,4,273.6713562011719,290.3716125488281,281,0.2468005836168432,2,1.8234769431921833,-0.6086608640337219,-1.1560119533826787
3,9,231.0224609375,564.026611328125,294,0.31048293604336763,3,0.7938845375401333,0.07508781362063267,-0.8257228238447705
3,3,200.91796875,795.06500244140625,324,0.3453511988075936,4,0.06712816224280711,0.44946356528042775,-0.49543369430686224
3,1,214.0953369140625,995.9835205078124,349,0.1911729721444928,5,0.3852446832997177,-1.2059268935695222,-0.1651445647689541
3,6,147.4569091796875,1210.06201171875,214,0.507176628043006,6,-1.223482077281757,2.1869609885771752,0.1651445647689541
3,5,175.361083984375,1357.5250244140625,348,0.30665887367472533,7,-0.5498438438111343,0.03402938081785982,0.49543369430686224
3,10,223.2589111328125,1532.8800048828125,348,0.3706309319126926,8,0.6064636941539189,0.7208885900077974,0.8257228238447705
3,2,171.863037109375,1756.1739501953125,237,0.24014240641031737,9,-0.6342906383845609,-0.6801487988709756,1.1560119533826787
3,8,135.7779541015625,1928.02001953125,246,0.3144804595546079,10,-1.505425217427556,0.11800867490408425,1.4863010829205867
4,1,169.3000946044922,46.805999755859375,341,0.2400794195491124,1,0.48703792854583805,-0.8351168634092488,-1.4288690166235207
4,8,119.64900207519533,216.2223968505859,218,0.34562670373232607,2,-0.8238973040777707,0.5639576164093908,-1.0206207261596576
4,2,107.05020141601564,335.87109375,213,0.46506649992618343,3,-1.156542787420856,2.147183295996719,-0.6123724356957946
4,6,102.8988037109375,442.9216003417969,163,0.23363893425710747,4,-1.266151926696261,-0.9204882557612322,-0.20412414523193154
4,4,185.13287353515636,545.80511474609375,278,0.31585026237912084,5,0.9050699732244398,0.16925812679702423,0.20412414523193154
4,7,146.21722412109364,730.9697265625,304,0.265394406283582,6,-0.12241790908592344,-0.4995558665420583,0.6123724356957946
4,10,204.248779296875,877.1708984375,346,0.2917977596049459,7,1.4097862461194017,-0.14956810419061392,1.0206207261596576
4,3,172.3330078125,1443.8189697265625,324,0.26719637875287683,8,0.5671157793911323,-0.475669949299982,1.4288690166235207
5,8,98.88297271728516,44.89752960205078,265,0.4535279899137562,1,-1.4376784372371314,-0.7883229021307739,-1.3887301496588271
5,3,148.7994842529297,143.89720153808594,354,0.4537915887097065,2,0.9082809804175693,-0.7845992911561209,-0.9258200997725514
5,9,152.76611328125,292.69549560546875,363,0.4245414716022234,3,1.094703277149696,-1.1977880414258784,-0.4629100498862757
5,2,118.58291625976564,445.4625854492187,296,0.5012365961417187,4,-0.511827117524085,-0.1143885273722995,0
5,10,138.06640625,564.04571533203125,347,0.6097939588488168,5,0.4038513909536651,1.4190987015746035,0.4629100498862757
5,5,106.93280029296876,702.111572265625,256,0.5373879438682811,6,-1.0593553487299083,0.3962873831827508,0.9258200997725514
